"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","variable"
"Rainfall_July",-0.01,0.037,-0.083,-0.01,0.062,-0.01,0,"Rainfall_July"
"Rainfall_August",0.031,0.046,-0.059,0.031,0.12,0.031,0,"Rainfall_August"
"PresenceLowConnectivity",0.344,0.214,-0.077,0.344,0.764,0.344,0,"PresenceLowConnectivity"
"PresenceHighConnectivity",0.669,0.274,0.132,0.669,1.206,0.669,0,"PresenceHighConnectivity"
"PresenceIntermediateConnectivity",0.658,0.138,0.386,0.658,0.929,0.658,0,"PresenceIntermediateConnectivity"
"AbsenceLowConnectivity",0.775,0.078,0.622,0.775,0.929,0.775,0,"AbsenceLowConnectivity"
"AbsenceHighConnectivity",0.981,0.096,0.792,0.981,1.169,0.981,0,"AbsenceHighConnectivity"
"AbsenceIntermediateConnectivity",0.813,0.061,0.694,0.813,0.933,0.813,0,"AbsenceIntermediateConnectivity"
"LogPlant.drynessPrev",-0.38,0.026,-0.431,-0.38,-0.33,-0.38,0,"LogPlant.drynessPrev"
"LogPlant.dryness",-0.014,0.025,-0.062,-0.014,0.035,-0.014,0,"LogPlant.dryness"
